,init_a,init_b,init_c,final_a,final_b,final_c,train_loss,argmax > 0.5,ftpt,ffpt,ftpf,ffpf
17,"[0.0, 0.1]","[[0.0, 0.1], [0.0, 0.1], [0.0, 0.1]]","[0.0, 0.1, 0.1]","[[-0.489, -0.216]]","[[0.075, -0.53], [1.538, -1.817], [-1.148, 1.999]]","[-1.83, 0.926, 2.091]",0.004,100.0,99.8,0.0,0.2,0.0
18,"[0.1, -0.1]","[[0.1, -0.1], [0.1, -0.1], [0.1, -0.1]]","[0.1, -0.1, -0.1]","[[0.314, -0.753]]","[[-0.837, 0.711], [0.843, -0.962], [0.353, 0.339]]","[-3.161, -3.009, 4.181]",0.003,68.3,68.0,32.0,0.0,0.0
19,"[0.1, -0.1]","[[0.1, -0.1], [0.1, -0.1], [0.1, -0.1]]","[0.1, -0.1, 0.0]","[[0.309, -0.744]]","[[-0.816, 0.707], [0.869, -0.972], [0.378, 0.334]]","[-3.197, -3.04, 4.171]",0.003,68.2,68.0,32.0,0.0,0.0
20,"[0.1, -0.1]","[[0.1, -0.1], [0.1, -0.1], [0.1, -0.1]]","[0.1, -0.1, 0.1]","[[0.297, -0.72]]","[[-0.798, 0.702], [0.895, -0.982], [0.393, 0.342]]","[-3.465, -3.262, 3.995]",0.003,67.8,68.2,31.8,0.0,0.0
21,"[0.1, 0.0]","[[0.1, 0.0], [0.1, 0.0], [0.1, 0.0]]","[0.1, 0.0, -0.1]","[[0.313, -0.752]]","[[-0.882, 0.758], [0.816, -0.933], [0.296, 0.403]]","[-2.98, -2.817, 4.451]",0.003,68.3,68.0,32.0,0.0,0.0
22,"[0.1, 0.0]","[[0.1, 0.0], [0.1, 0.0], [0.1, 0.0]]","[0.1, 0.0, 0.0]","[[0.31, -0.748]]","[[-0.863, 0.755], [0.841, -0.941], [0.318, 0.397]]","[-2.969, -2.795, 4.469]",0.003,68.2,68.0,32.0,0.0,0.0
23,"[0.1, 0.0]","[[0.1, 0.0], [0.1, 0.0], [0.1, 0.0]]","[0.1, 0.0, 0.1]","[[0.31, -0.746]]","[[-0.848, 0.753], [0.854, -0.941], [0.333, 0.395]]","[-2.989, -2.802, 4.447]",0.003,68.2,68.0,32.0,0.0,0.0
24,"[0.1, 0.1]","[[0.1, 0.1], [0.1, 0.1], [0.1, 0.1]]","[0.1, 0.1, -0.1]","[[-0.322, -0.295]]","[[0.273, -0.443], [1.747, -1.703], [-0.877, 1.982]]","[-2.038, 1.341, 2.203]",0.004,100.0,99.8,0.0,0.2,0.0
25,"[0.1, 0.1]","[[0.1, 0.1], [0.1, 0.1], [0.1, 0.1]]","[0.1, 0.1, 0.0]","[[-0.322, -0.298]]","[[0.286, -0.482], [1.761, -1.736], [-0.858, 1.933]]","[-2.028, 1.452, 2.214]",0.004,100.0,99.8,0.0,0.2,0.0
26,"[0.1, 0.1]","[[0.1, 0.1], [0.1, 0.1], [0.1, 0.1]]","[0.1, 0.1, 0.1]","[[-0.324, -0.302]]","[[0.286, -0.49], [1.755, -1.736], [-0.851, 1.912]]","[-2.016, 1.498, 2.222]",0.004,100.0,99.8,0.0,0.2,0.0
