,init_a,init_b,init_c,final_a,final_b,final_c,train_loss,argmax > 0.5,ftpt,ffpt,ftpf,ffpf
10,"[0.0, -0.1]","[[0.0, -0.1], [0.0, -0.1], [0.0, -0.1]]","[0.0, -0.1, 0.0]","[[-0.087, -0.172]]","[[-0.031, -0.672], [1.749, -2.012], [-1.3, 2.349]]","[-3.729, 2.611, 3.54]",0.001,99.9,100.0,0.0,0.0,0.0
11,"[0.0, -0.1]","[[0.0, -0.1], [0.0, -0.1], [0.0, -0.1]]","[0.0, -0.1, 0.1]","[[-0.084, -0.177]]","[[-0.027, -0.644], [1.751, -1.995], [-1.29, 2.365]]","[-3.683, 2.48, 3.574]",0.001,99.8,100.0,0.0,0.0,0.0
12,"[0.0, 0.0]","[[0.0, 0.0], [0.0, 0.0], [0.0, 0.0]]","[0.0, 0.0, -0.1]","[[-0.052, -0.223]]","[[-0.07, -0.456], [1.714, -1.893], [-1.21, 2.418]]","[-3.433, 1.701, 4.551]",0.001,93.5,100.0,0.0,0.0,0.0
13,"[0.0, 0.0]","[[0.0, 0.0], [0.0, 0.0], [0.0, 0.0]]","[0.0, 0.0, 0.0]","[[-0.052, -0.221]]","[[-0.049, -0.456], [1.74, -1.899], [-1.198, 2.43]]","[-3.413, 1.715, 4.537]",0.001,93.1,100.0,0.0,0.0,0.0
14,"[0.0, 0.0]","[[0.0, 0.0], [0.0, 0.0], [0.0, 0.0]]","[0.0, 0.0, 0.1]","[[-0.054, -0.217]]","[[-0.015, -0.473], [1.785, -1.925], [-1.182, 2.439]]","[-3.399, 1.744, 4.471]",0.001,94.2,100.0,0.0,0.0,0.0
15,"[0.0, 0.1]","[[0.0, 0.1], [0.0, 0.1], [0.0, 0.1]]","[0.0, 0.1, -0.1]","[[-0.846, 0.836]]","[[1.096, -2.234], [-0.583, 3.533], [-0.942, 1.653]]","[-5.295, 4.153, -2.39]",0.003,73.9,68.1,31.6,0.2,0.1
16,"[0.0, 0.1]","[[0.0, 0.1], [0.0, 0.1], [0.0, 0.1]]","[0.0, 0.1, 0.0]","[[-0.234, -0.062]]","[[0.015, -0.46], [1.825, -2.009], [-1.208, 2.516]]","[-3.009, 1.142, 5.617]",0.001,100.0,100.0,0.0,0.0,0.0
17,"[0.0, 0.1]","[[0.0, 0.1], [0.0, 0.1], [0.0, 0.1]]","[0.0, 0.1, 0.1]","[[-0.145, -0.107]]","[[-0.096, -0.348], [1.682, -1.855], [-1.245, 2.55]]","[-2.953, 1.222, 5.543]",0.001,100.0,100.0,0.0,0.0,0.0
18,"[0.1, -0.1]","[[0.1, -0.1], [0.1, -0.1], [0.1, -0.1]]","[0.1, -0.1, -0.1]","[[0.233, -0.607]]","[[-0.857, 0.763], [1.129, -1.186], [0.329, 0.576]]","[-4.611, -3.782, 5.131]",0.001,67.0,69.2,30.8,0.0,0.0
19,"[0.1, -0.1]","[[0.1, -0.1], [0.1, -0.1], [0.1, -0.1]]","[0.1, -0.1, 0.0]","[[0.226, -0.611]]","[[-0.868, 0.753], [1.118, -1.185], [0.327, 0.577]]","[-4.673, -3.838, 5.081]",0.001,67.0,70.8,29.2,0.0,0.0
20,"[0.1, -0.1]","[[0.1, -0.1], [0.1, -0.1], [0.1, -0.1]]","[0.1, -0.1, 0.1]","[[0.23, -0.603]]","[[-0.883, 0.762], [1.103, -1.181], [0.304, 0.585]]","[-4.798, -3.928, 5.022]",0.001,67.0,69.2,30.8,0.0,0.0
21,"[0.1, 0.0]","[[0.1, 0.0], [0.1, 0.0], [0.1, 0.0]]","[0.1, 0.0, -0.1]","[[0.228, -0.602]]","[[-0.887, 0.81], [1.133, -1.17], [0.301, 0.628]]","[-4.279, -3.405, 5.55]",0.001,67.0,69.7,30.3,0.0,0.0
22,"[0.1, 0.0]","[[0.1, 0.0], [0.1, 0.0], [0.1, 0.0]]","[0.1, 0.0, 0.0]","[[0.228, -0.602]]","[[-0.866, 0.807], [1.155, -1.174], [0.32, 0.627]]","[-4.259, -3.398, 5.568]",0.001,67.0,69.7,30.3,0.0,0.0
23,"[0.1, 0.0]","[[0.1, 0.0], [0.1, 0.0], [0.1, 0.0]]","[0.1, 0.0, 0.1]","[[0.228, -0.601]]","[[-0.868, 0.806], [1.152, -1.174], [0.318, 0.625]]","[-4.299, -3.437, 5.513]",0.001,67.0,69.7,30.3,0.0,0.0
24,"[0.1, 0.1]","[[0.1, 0.1], [0.1, 0.1], [0.1, 0.1]]","[0.1, 0.1, -0.1]","[[-0.079, -0.177]]","[[0.272, -0.611], [2.15, -2.12], [-0.979, 2.411]]","[-3.54, 1.877, 3.988]",0.001,98.9,100.0,0.0,0.0,0.0
25,"[0.1, 0.1]","[[0.1, 0.1], [0.1, 0.1], [0.1, 0.1]]","[0.1, 0.1, 0.0]","[[-0.079, -0.177]]","[[0.275, -0.614], [2.15, -2.117], [-0.973, 2.401]]","[-3.495, 1.977, 4.029]",0.001,98.9,100.0,0.0,0.0,0.0
26,"[0.1, 0.1]","[[0.1, 0.1], [0.1, 0.1], [0.1, 0.1]]","[0.1, 0.1, 0.1]","[[-0.078, -0.178]]","[[0.272, -0.611], [2.145, -2.11], [-0.974, 2.401]]","[-3.474, 2.014, 4.047]",0.001,98.9,100.0,0.0,0.0,0.0
